web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Danso,Spurs,2,4.2,3.5,0.49,2.67,3.5,2.06
Pau,Aston Villa,2,4.3,3.0,0.99,2.67,3.0,2.06
Livramento,Newcastle,2,4.9,3.5,0.96,3.67,3.5,2.05
J.Ramsey,Newcastle,3,5.3,2.5,1.95,3.67,2.5,2.05
Merino,Arsenal,3,5.4,0.0,4.44,3.67,0.0,2.04
Isidor,Sunderland,4,5.0,0.0,3.9,2.67,0.0,2.03
S.Bueno,Wolves,2,4.4,1.0,2.71,2.33,0.5,2.02
Smith,Bournemouth,2,4.4,4.0,0.2,3.33,3.0,2.01
Gusto,Chelsea,2,4.9,1.0,3.34,3.67,1.0,2.0
Rigg,Sunderland,3,4.7,2.5,1.31,2.67,2.5,1.99
Edwards,Burnley,3,4.7,1.0,3.12,3.33,0.5,1.98
Diouf,West Ham,2,4.1,1.5,2.28,2.67,2.0,1.98
Geertruida,Sunderland,2,4.5,2.5,1.25,2.67,2.5,1.97
Alderete,Sunderland,2,4.1,1.5,2.23,2.67,1.5,1.96
Ndoye,Nott'm Forest,3,5.5,1.0,2.56,2.33,1.0,1.96
Ugochukwu,Burnley,3,5.0,1.5,2.54,3.33,1.0,1.95
Dúbravka,Burnley,1,4.0,4.0,0.04,3.33,3.5,1.95
Petrović,Bournemouth,1,4.6,4.0,0.0,3.33,3.0,1.93
Van de Ven,Spurs,2,4.4,0.5,3.13,2.67,0.5,1.92
Sessegnon,Fulham,3,5.4,1.0,2.91,3.33,0.5,1.9
Yoro,Man Utd,2,4.1,2.0,1.54,2.67,2.5,1.88
Krejčí,Wolves,2,4.5,0.0,3.36,2.33,-0.5,1.88
Kluivert,Bournemouth,3,6.9,0.0,3.78,3.33,0.0,1.85
Mount,Man Utd,3,5.9,0.5,2.94,2.67,1.0,1.84
Ødegaard,Arsenal,3,7.8,0.0,3.92,3.67,1.0,1.83
Tonali,Newcastle,3,5.3,0.0,3.91,3.67,0.0,1.83
Maatsen,Aston Villa,2,4.2,0.5,2.9,2.67,0.5,1.83
André,Wolves,3,5.2,2.0,1.19,2.33,1.5,1.81
Mayenda,Sunderland,4,5.2,1.0,2.35,2.67,1.0,1.81
Lukić,Fulham,3,4.9,0.5,3.17,3.33,0.0,1.8
Dorgu,Man Utd,2,4.1,0.0,3.28,2.67,0.0,1.78
Mosquera,Wolves,2,4.3,1.0,2.04,2.33,0.5,1.75
Hee Chan,Wolves,3,5.6,0.0,3.02,2.33,-0.5,1.74
Fofana,Chelsea,2,4.4,2.5,1.18,3.67,2.5,1.74
R.Gomes,Wolves,2,4.4,1.0,2.0,2.33,0.5,1.73
